member_number,Recency,Frequency,Monetary,R,F,M,RFM_Level
1548,225.33333333333331,3,45.1,1,2,2,REGULARS
1549,222.66666666666663,3,120.85,1,2,4,REGULARS
1550,201.33333333333331,3,67.95,2,2,2,REGULARS
1551,101.83333333333331,6,92.7,4,4,3,ACTIVE
1552,720.0,1,80.1,1,1,3,REGULARS
1553,105.33333333333331,6,95.7,4,4,3,ACTIVE
1554,139.6,5,183.51,3,3,4,REGULARS
1555,278.0,1,37.2,1,1,1,NEW
1556,578.0,1,20.9,1,1,1,NEW
1557,192.5,2,108.6,2,1,3,REGULARS
1558,268.0,1,15.4,1,1,1,NEW
1559,254.0,2,103.0,1,1,3,REGULARS
1560,593.0,1,1.9,1,1,1,NEW
1561,101.42857142857144,7,136.15,4,4,4,ACTIVE
1562,172.66666666666666,3,66.9,2,2,2,REGULARS
1563,329.5,2,35.0,1,1,1,NEW
1564,106.5,4,83.01,4,2,3,ACTIVE
1565,91.0,6,234.79,4,4,4,ACTIVE
1566,78.33333333333333,9,145.77,4,4,4,ACTIVE
1567,126.0,4,192.08,3,2,4,REGULARS
1568,360.0,2,48.9,1,1,2,REGULARS
1569,236.66666666666663,3,46.4,1,2,2,REGULARS
1570,145.0,2,41.0,3,1,1,REGULARS
1571,204.0,2,34.5,2,1,1,REGULARS
1572,91.28571428571428,7,182.1,4,4,4,ACTIVE
1573,206.33333333333331,3,36.91,2,2,1,REGULARS
1574,71.4,10,205.7,4,4,4,ACTIVE
1575,136.8,5,38.62,3,3,1,REGULARS
1577,289.0,1,32.1,1,1,1,NEW
1578,161.0,4,57.2,2,3,2,REGULARS
1579,563.0,1,11.5,1,1,1,NEW
1580,96.85714285714286,7,53.35,4,4,2,ACTIVE
1581,227.0,3,83.7,1,2,3,REGULARS
1582,189.33333333333331,3,95.06,2,2,3,REGULARS
1583,114.83333333333331,6,164.05,3,4,4,REGULARS
1584,73.4,5,141.95,4,3,4,ACTIVE
1585,154.75,4,38.31,2,3,1,REGULARS
1586,329.5,2,25.9,1,1,1,NEW
1587,118.8,5,101.62,3,3,3,REGULARS
1588,176.33333333333334,3,109.54,2,2,3,REGULARS
1589,359.0,2,46.0,1,1,2,REGULARS
1590,192.33333333333331,3,43.7,2,2,1,REGULARS
1591,178.5,4,103.2,2,3,3,REGULARS
1592,397.0,1,4.4,1,1,1,NEW
1593,226.0,3,32.6,1,2,1,REGULARS
1594,208.0,3,23.3,2,2,1,REGULARS
1595,100.42857142857144,7,176.9,4,4,4,ACTIVE
1596,130.25,4,35.45,3,3,1,REGULARS
1597,171.25,4,58.2,2,3,2,REGULARS
1598,204.66666666666663,3,29.2,2,2,1,REGULARS
1599,99.2,5,79.45,4,3,3,ACTIVE
1601,169.33333333333334,3,85.5,2,2,3,REGULARS
1602,93.57142857142856,7,148.0,4,4,4,ACTIVE
1603,130.8,5,106.75,3,3,3,REGULARS
1604,173.75,4,48.0,2,3,2,REGULARS
1605,133.6,5,47.1,3,3,2,REGULARS
1606,179.25,4,128.0,2,3,4,REGULARS
1607,225.5,2,35.76,1,1,1,NEW
1608,119.16666666666669,6,170.12,3,4,4,REGULARS
1609,110.83333333333331,6,203.1,4,4,4,ACTIVE
1610,186.0,2,25.7,2,1,1,REGULARS
1611,217.33333333333331,3,93.85,1,2,3,REGULARS
1612,74.66666666666667,6,102.3,4,4,3,ACTIVE
1613,101.71428571428572,7,164.71,4,4,4,ACTIVE
1614,165.0,2,85.42,2,1,3,REGULARS
1615,142.75,4,69.5,3,3,2,REGULARS
1616,106.33333333333331,6,132.0,4,4,4,ACTIVE
1617,172.75,4,35.1,2,3,1,REGULARS
1618,90.85714285714286,7,192.72,4,4,4,ACTIVE
1619,132.0,4,132.61,3,3,4,REGULARS
1620,134.2,5,160.11,3,3,4,REGULARS
1621,137.0,5,150.72,3,3,4,REGULARS
1622,148.0,4,72.97,3,3,2,REGULARS
1623,143.4,5,135.7,3,3,4,REGULARS
1624,166.33333333333334,3,151.0,2,2,4,REGULARS
1625,102.71428571428572,7,205.26,4,4,4,ACTIVE
1626,315.0,1,4.1,1,1,1,NEW
1627,168.66666666666666,3,37.0,2,2,1,REGULARS
1628,114.66666666666669,6,118.4,3,4,4,REGULARS
1629,175.33333333333334,3,60.9,2,2,2,REGULARS
1630,217.0,2,16.5,1,1,1,NEW
1631,164.0,2,48.6,2,1,2,REGULARS
1632,113.66666666666669,6,117.04,3,4,4,REGULARS
1633,271.5,2,32.62,1,1,1,NEW
1634,114.66666666666669,6,107.3,3,4,3,REGULARS
1635,136.0,3,41.86,3,2,1,REGULARS
1636,98.16666666666669,6,119.6,4,4,4,ACTIVE
1638,251.5,2,81.5,1,1,3,REGULARS
1639,165.33333333333334,3,114.81,2,2,3,REGULARS
1640,333.5,2,27.4,1,1,1,NEW
1641,137.8,5,94.7,3,3,3,REGULARS
1642,458.0,1,5.9,1,1,1,NEW
1643,313.5,2,12.0,1,1,1,NEW
1644,335.0,2,62.62,1,1,2,REGULARS
1645,351.5,2,34.2,1,1,1,NEW
1646,93.71428571428572,7,151.66,4,4,4,ACTIVE
1647,225.33333333333331,3,82.88,1,2,3,REGULARS
1648,171.25,4,89.0,2,3,3,REGULARS
1649,74.14285714285714,7,178.71,4,4,4,ACTIVE
1650,354.5,2,39.8,1,1,1,NEW
1651,99.14285714285714,7,220.36,4,4,4,ACTIVE
1652,131.0,5,105.5,3,3,3,REGULARS
1653,102.66666666666669,6,201.0,4,4,4,ACTIVE
1654,70.33333333333333,9,247.84,4,4,4,ACTIVE
1655,179.25,4,109.1,2,3,3,REGULARS
1656,79.75,4,107.14,4,3,3,ACTIVE
1657,222.0,3,38.9,1,2,1,REGULARS
1658,145.2,5,113.3,3,3,3,REGULARS
1659,104.0,7,145.51,4,4,4,ACTIVE
1660,212.0,3,76.25,2,2,3,REGULARS
1661,118.0,6,115.17,3,4,3,REGULARS
1662,351.0,2,30.0,1,1,1,NEW
1663,168.5,4,100.11,2,3,3,REGULARS
1664,151.66666666666666,3,57.4,3,2,2,REGULARS
1665,165.66666666666666,3,30.0,2,2,1,REGULARS
1666,298.0,2,38.7,1,1,1,NEW
1667,352.0,1,41.6,1,1,1,NEW
1668,130.75,4,127.2,3,3,4,REGULARS
1669,133.0,1,52.74,3,1,2,REGULARS
1670,75.66666666666667,3,73.5,4,2,2,ACTIVE
1672,234.33333333333331,3,39.6,1,2,1,REGULARS
1673,631.0,1,13.9,1,1,1,NEW
1674,142.75,4,115.56,3,3,4,REGULARS
1676,160.25,4,57.61,2,3,2,REGULARS
1677,135.4,5,219.01,3,3,4,REGULARS
1678,37.75,4,61.4,4,3,2,ACTIVE
1679,124.5,4,53.2,3,3,2,REGULARS
1680,198.0,3,67.2,2,2,2,REGULARS
1681,309.5,2,20.1,1,1,1,NEW
1682,101.57142857142856,7,155.66,4,4,4,ACTIVE
1683,109.0,2,29.2,4,1,1,REGULARS
1684,227.0,3,79.9,1,2,3,REGULARS
1685,143.75,4,26.7,3,3,1,REGULARS
1686,209.0,3,45.3,2,2,2,REGULARS
1687,134.8,5,85.3,3,3,3,REGULARS
1688,50.0,1,10.1,4,1,1,REGULARS
1689,233.5,2,54.8,1,1,2,REGULARS
1690,110.0,6,125.8,4,4,4,ACTIVE
1692,100.83333333333331,6,121.65,4,4,4,ACTIVE
1693,172.25,4,71.9,2,3,2,REGULARS
1694,260.5,2,37.81,1,1,1,NEW
1695,329.0,1,20.6,1,1,1,NEW
1696,93.5,6,81.96,4,4,3,ACTIVE
1697,117.83333333333331,6,78.67,3,4,3,REGULARS
1698,237.33333333333331,3,55.04,1,2,2,REGULARS
1699,176.0,4,98.4,2,3,3,REGULARS
1700,210.0,2,18.64,2,1,1,REGULARS
1701,227.0,1,37.9,1,1,1,NEW
1702,143.4,5,75.9,3,3,3,REGULARS
1703,171.66666666666666,3,125.6,2,2,4,REGULARS
1705,151.0,4,50.85,3,3,2,REGULARS
1706,159.25,4,155.0,2,3,4,REGULARS
1707,186.5,2,24.5,2,1,1,REGULARS
1708,134.75,4,159.4,3,3,4,REGULARS
1709,247.5,2,34.4,1,1,1,NEW
1710,220.66666666666663,3,100.0,1,2,3,REGULARS
1711,75.0,8,163.66,4,4,4,ACTIVE
1712,313.5,2,79.1,1,1,3,REGULARS
1714,353.5,2,44.4,1,1,2,REGULARS
1715,112.16666666666669,6,284.89,4,4,4,ACTIVE
1716,192.66666666666663,3,101.2,2,2,3,REGULARS
1717,211.0,3,55.3,2,2,2,REGULARS
1718,130.66666666666666,3,62.95,3,2,2,REGULARS
1719,122.8,5,85.84,3,3,3,REGULARS
1720,236.5,2,39.04,1,1,1,NEW
1721,331.5,2,11.8,1,1,1,NEW
1722,89.33333333333333,6,69.26,4,4,2,ACTIVE
1723,131.75,4,87.35,3,3,3,REGULARS
1724,169.0,4,107.0,2,3,3,REGULARS
1725,165.33333333333334,3,82.36,2,2,3,REGULARS
1726,131.2,5,132.1,3,3,4,REGULARS
1727,253.0,2,32.4,1,1,1,NEW
1728,185.33333333333331,3,41.1,2,2,1,REGULARS
1729,108.33333333333331,6,174.7,4,4,4,ACTIVE
1730,124.5,4,43.0,3,3,1,REGULARS
1731,81.83333333333333,6,97.2,4,4,3,ACTIVE
1732,212.0,3,50.0,2,2,2,REGULARS
1733,167.75,4,133.6,2,3,4,REGULARS
1734,83.33333333333333,6,181.0,4,4,4,ACTIVE
1735,308.5,2,104.0,1,1,3,REGULARS
1736,131.8,5,83.0,3,3,3,REGULARS
1737,81.5,6,156.97,4,4,4,ACTIVE
1738,133.25,4,40.85,3,3,1,REGULARS
1739,237.5,2,55.9,1,1,2,REGULARS
1740,96.71428571428572,7,125.81,4,4,4,ACTIVE
1741,89.33333333333333,6,117.6,4,4,4,ACTIVE
1742,109.0,4,111.7,4,3,3,ACTIVE
1743,178.0,4,86.6,2,3,3,REGULARS
1744,93.0,2,7.65,4,1,1,REGULARS
1745,648.0,1,14.4,1,1,1,NEW
1746,129.8,5,49.5,3,3,2,REGULARS
1747,144.4,5,67.2,3,3,2,REGULARS
1748,131.6,5,85.8,3,3,3,REGULARS
1749,159.0,3,87.34,2,2,3,REGULARS
1750,116.2,5,112.96,3,3,3,REGULARS
1751,170.75,4,58.9,2,3,2,REGULARS
1752,125.2,5,48.6,3,3,2,REGULARS
1753,96.0,7,124.5,4,4,4,ACTIVE
1754,123.8,5,108.8,3,3,3,REGULARS
1755,355.0,2,16.9,1,1,1,NEW
1756,143.75,4,72.6,3,3,2,REGULARS
1757,160.0,4,108.0,2,3,3,REGULARS
1758,155.0,3,127.84,2,2,4,REGULARS
1759,173.33333333333334,3,127.8,2,2,4,REGULARS
1760,173.33333333333334,3,50.8,2,2,2,REGULARS
1761,96.0,7,228.23,4,4,4,ACTIVE
1762,171.5,2,11.0,2,1,1,REGULARS
1763,36.0,3,57.45,4,2,2,ACTIVE
1764,145.2,5,58.6,3,3,2,REGULARS
1765,188.66666666666663,3,112.8,2,2,3,REGULARS
1766,312.0,2,79.75,1,1,3,REGULARS
1767,96.0,6,102.36,4,4,3,ACTIVE
1768,75.14285714285714,7,125.01,4,4,4,ACTIVE
1769,532.0,2,26.8,1,1,1,NEW
1770,123.2,5,45.52,3,3,2,REGULARS
1771,151.0,3,34.0,3,2,1,REGULARS
1772,173.5,4,57.5,2,3,2,REGULARS
1773,107.0,4,71.1,4,3,2,ACTIVE
1774,114.0,5,62.65,3,3,2,REGULARS
1775,80.0,1,41.4,4,1,1,REGULARS
1776,101.83333333333331,6,109.3,4,4,3,ACTIVE
1777,91.0,7,185.91,4,4,4,ACTIVE
1778,133.0,3,85.31,3,2,3,REGULARS
1779,238.66666666666663,3,101.1,1,2,3,REGULARS
1780,89.8,5,119.05,4,3,4,ACTIVE
1781,235.0,3,65.47,1,2,2,REGULARS
1782,104.83333333333331,6,164.21,4,4,4,ACTIVE
1783,114.0,6,126.25,3,4,4,REGULARS
1784,160.33333333333334,3,66.7,2,2,2,REGULARS
1785,96.42857142857144,7,196.3,4,4,4,ACTIVE
1786,205.33333333333331,3,24.3,2,2,1,REGULARS
1787,180.66666666666663,3,232.7,2,2,4,REGULARS
1788,77.0,7,105.55,4,4,3,ACTIVE
1789,145.6,5,100.4,3,3,3,REGULARS
1790,164.0,2,22.7,2,1,1,REGULARS
1791,232.0,3,59.4,1,2,2,REGULARS
1792,180.66666666666663,3,182.85,2,2,4,REGULARS
1793,49.2,10,345.1,4,4,4,ACTIVE
1794,312.5,2,26.3,1,1,1,NEW
1795,294.5,2,65.75,1,1,2,REGULARS
1796,108.0,6,86.4,4,4,3,ACTIVE
1797,142.2,5,92.09,3,3,3,REGULARS
1798,89.0,8,135.2,4,4,4,ACTIVE
1799,94.75,4,46.83,4,3,2,ACTIVE
1800,121.75,4,81.4,3,3,3,REGULARS
1801,99.2,5,47.3,4,3,2,ACTIVE
1803,158.25,4,53.9,2,3,2,REGULARS
1804,112.66666666666669,3,81.9,3,2,3,REGULARS
1805,202.33333333333331,3,42.3,2,2,1,REGULARS
1806,279.0,2,109.22,1,1,3,REGULARS
1807,165.66666666666666,3,85.7,2,2,3,REGULARS
1808,99.0,4,109.81,4,3,3,ACTIVE
1809,363.5,2,38.4,1,1,1,NEW
1810,152.25,4,107.2,3,3,3,REGULARS
1811,98.71428571428572,7,145.31,4,4,4,ACTIVE
1812,77.0,1,49.8,4,1,2,REGULARS
1813,394.0,1,50.9,1,1,2,REGULARS
1814,116.16666666666669,6,97.4,3,4,3,REGULARS
1815,110.2,5,67.3,4,3,2,ACTIVE
1816,180.0,4,88.11,2,3,3,REGULARS
1817,140.2,5,133.2,3,3,4,REGULARS
1818,156.75,4,48.6,2,3,2,REGULARS
1819,74.6,5,206.91,4,3,4,ACTIVE
1820,143.6,5,85.4,3,3,3,REGULARS
1821,238.66666666666663,3,140.2,1,2,4,REGULARS
1822,176.25,4,68.91,2,3,2,REGULARS
1823,207.66666666666663,3,120.9,2,2,4,REGULARS
1824,160.5,4,70.4,2,3,2,REGULARS
1825,180.5,4,104.9,2,3,3,REGULARS
1826,376.0,1,11.7,1,1,1,NEW
1827,53.888888888888886,9,158.6,4,4,4,ACTIVE
1828,241.0,3,38.25,1,2,1,REGULARS
1829,168.0,4,74.2,2,3,2,REGULARS
1830,285.5,2,36.5,1,1,1,NEW
1831,173.0,3,67.15,2,2,2,REGULARS
1832,82.66666666666667,6,154.76,4,4,4,ACTIVE
1833,109.0,4,80.81,4,3,3,ACTIVE
1834,124.66666666666669,3,72.16,3,2,2,REGULARS
1835,135.0,4,106.65,3,3,3,REGULARS
1836,208.66666666666663,3,95.0,2,2,3,REGULARS
1837,167.75,4,87.75,2,3,3,REGULARS
1838,141.0,4,91.91,3,3,3,REGULARS
1839,130.0,5,142.2,3,3,4,REGULARS
1840,224.5,2,40.91,1,1,1,NEW
1841,189.5,2,28.6,2,1,1,REGULARS
1842,193.0,3,45.8,2,2,2,REGULARS
1843,115.5,4,56.65,3,3,2,REGULARS
1844,104.83333333333331,6,109.72,4,4,3,ACTIVE
1845,107.33333333333331,3,20.0,4,2,1,ACTIVE
1846,45.2,5,62.5,4,3,2,ACTIVE
1847,179.75,4,60.05,2,3,2,REGULARS
1848,116.5,4,47.25,3,3,2,REGULARS
1849,213.33333333333331,3,61.42,2,2,2,REGULARS
1850,164.5,4,99.21,2,3,3,REGULARS
1851,171.5,4,82.0,2,3,3,REGULARS
1852,181.25,4,56.33,2,3,2,REGULARS
1853,161.25,4,126.1,2,3,4,REGULARS
1854,219.66666666666663,3,38.7,1,2,1,REGULARS
1855,133.0,4,160.65,3,3,4,REGULARS
1856,175.0,4,95.9,2,3,3,REGULARS
1857,71.0,2,80.7,4,1,3,REGULARS
1858,169.5,2,38.7,2,1,1,REGULARS
1859,143.0,5,161.41,3,3,4,REGULARS
1860,349.0,2,14.7,1,1,1,NEW
1861,112.5,2,32.9,4,1,1,REGULARS
1862,117.6,5,225.65,3,3,4,REGULARS
1863,144.25,4,110.61,3,3,3,REGULARS
1864,181.5,4,61.6,2,3,2,REGULARS
1865,113.5,6,146.6,3,4,4,REGULARS
1866,98.42857142857144,7,244.5,4,4,4,ACTIVE
1867,169.0,4,67.7,2,3,2,REGULARS
1868,224.33333333333331,3,68.5,1,2,2,REGULARS
1869,179.5,4,51.01,2,3,2,REGULARS
1870,87.125,8,257.54,4,4,4,ACTIVE
1871,381.0,1,21.91,1,1,1,NEW
1872,111.66666666666669,3,47.71,4,2,2,ACTIVE
1873,106.33333333333331,3,45.3,4,2,2,ACTIVE
1874,80.75,4,35.9,4,3,1,ACTIVE
1875,111.0,2,69.9,4,1,2,REGULARS
1876,197.0,1,25.31,2,1,1,REGULARS
1877,140.5,4,43.22,3,3,1,REGULARS
1878,80.77777777777777,9,127.61,4,4,4,ACTIVE
1879,144.25,4,34.4,3,3,1,REGULARS
1880,234.5,2,18.8,1,1,1,NEW
1881,136.6,5,51.05,3,3,2,REGULARS
1882,164.66666666666666,3,97.4,2,2,3,REGULARS
1883,127.6,5,66.7,3,3,2,REGULARS
1884,73.5,2,105.05,4,1,3,REGULARS
1885,164.75,4,78.5,2,3,3,REGULARS
1886,236.5,2,22.56,1,1,1,NEW
1887,99.28571428571428,7,185.8,4,4,4,ACTIVE
1888,100.0,6,183.1,4,4,4,ACTIVE
1889,69.75,8,240.15,4,4,4,ACTIVE
1890,156.75,4,197.2,2,3,4,REGULARS
1891,362.0,2,22.8,1,1,1,NEW
1892,87.83333333333333,6,109.12,4,4,3,ACTIVE
1893,131.5,4,92.3,3,3,3,REGULARS
1894,124.5,4,141.2,3,3,4,REGULARS
1895,117.66666666666669,6,118.38,3,4,4,REGULARS
1896,171.25,4,111.3,2,3,3,REGULARS
1897,152.0,4,47.4,3,3,2,REGULARS
1898,414.0,1,12.8,1,1,1,NEW
1899,138.2,5,93.64,3,3,3,REGULARS
1900,170.25,4,74.44,2,3,2,REGULARS
1901,84.33333333333333,3,99.21,4,2,3,ACTIVE
1902,127.0,3,59.22,3,2,2,REGULARS
1903,170.25,4,62.46,2,3,2,REGULARS
1904,215.33333333333331,3,61.2,2,2,2,REGULARS
1905,77.55555555555556,9,253.51,4,4,4,ACTIVE
1907,309.5,2,51.2,1,1,2,REGULARS
1908,70.6,10,180.64,4,4,4,ACTIVE
1909,177.0,2,44.8,2,1,2,REGULARS
1910,134.4,5,85.61,3,3,3,REGULARS
1911,330.0,2,74.68,1,1,2,REGULARS
1912,217.0,3,55.1,1,2,2,REGULARS
1913,134.6,5,195.7,3,3,4,REGULARS
1914,132.33333333333334,3,36.56,3,2,1,REGULARS
1915,318.0,2,13.0,1,1,1,NEW
1916,196.0,3,34.65,2,2,1,REGULARS
1917,140.6,5,137.0,3,3,4,REGULARS
1918,167.0,2,70.41,2,1,2,REGULARS
1919,194.5,2,39.6,2,1,1,REGULARS
1920,162.0,2,30.0,2,1,1,REGULARS
1921,91.85714285714286,7,193.0,4,4,4,ACTIVE
1922,80.88888888888889,9,98.9,4,4,3,ACTIVE
1923,116.0,6,93.16,3,4,3,REGULARS
1924,113.33333333333331,6,72.99,3,4,2,REGULARS
1925,575.0,1,10.7,1,1,1,NEW
1926,174.33333333333334,3,65.0,2,2,2,REGULARS
1927,279.0,2,38.6,1,1,1,NEW
1928,195.33333333333331,3,99.8,2,2,3,REGULARS
1929,99.28571428571428,7,126.9,4,4,4,ACTIVE
1930,96.83333333333331,6,115.31,4,4,4,ACTIVE
1931,111.0,6,157.7,4,4,4,ACTIVE
1932,64.0,9,179.82,4,4,4,ACTIVE
1933,435.0,1,16.21,1,1,1,NEW
1934,112.8,5,185.82,3,3,4,REGULARS
1935,153.75,4,49.6,2,3,2,REGULARS
1936,112.0,2,42.2,4,1,1,REGULARS
1937,132.6,5,67.8,3,3,2,REGULARS
1938,164.25,4,72.01,2,3,2,REGULARS
1939,139.2,5,137.53,3,3,4,REGULARS
1940,137.8,5,204.15,3,3,4,REGULARS
1941,350.0,2,36.6,1,1,1,NEW
1942,263.0,2,39.0,1,1,1,NEW
1943,94.0,5,140.87,4,3,4,ACTIVE
1944,253.5,2,21.7,1,1,1,NEW
1945,84.0,5,115.9,4,3,4,ACTIVE
1946,110.33333333333331,6,110.5,4,4,3,ACTIVE
1947,240.66666666666663,3,112.0,1,2,3,REGULARS
1948,120.83333333333331,6,135.15,3,4,4,REGULARS
1949,104.33333333333331,6,219.81,4,4,4,ACTIVE
1950,95.4,5,43.35,4,3,1,ACTIVE
1951,185.0,3,108.1,2,2,3,REGULARS
1952,141.0,2,85.31,3,1,3,REGULARS
1953,296.0,1,57.2,1,1,2,REGULARS
1954,188.33333333333331,3,114.62,2,2,3,REGULARS
1955,143.75,4,76.12,3,3,3,REGULARS
1956,716.0,1,11.3,1,1,1,NEW
1957,325.0,2,20.8,1,1,1,NEW
1958,281.0,2,101.5,1,1,3,REGULARS
1959,92.42857142857144,7,160.61,4,4,4,ACTIVE
1960,355.0,1,25.2,1,1,1,NEW
1961,119.33333333333331,6,54.91,3,4,2,REGULARS
1962,188.0,3,70.81,2,2,2,REGULARS
1964,163.0,4,53.17,2,3,2,REGULARS
1965,363.5,2,44.2,1,1,2,REGULARS
1966,97.71428571428572,7,91.24,4,4,3,ACTIVE
1967,74.83333333333333,6,93.95,4,4,3,ACTIVE
1968,88.5,4,101.01,4,3,3,ACTIVE
1969,144.8,5,76.76,3,3,3,REGULARS
1970,175.0,4,100.7,2,3,3,REGULARS
1971,193.66666666666663,3,120.55,2,2,4,REGULARS
1972,303.5,2,25.9,1,1,1,NEW
1973,67.0,1,114.9,4,1,3,REGULARS
1974,241.0,1,76.6,1,1,3,REGULARS
1975,360.0,2,23.3,1,1,1,NEW
1976,77.0,1,6.7,4,1,1,REGULARS
1977,352.0,1,41.9,1,1,1,NEW
1978,225.33333333333331,3,105.9,1,2,3,REGULARS
1979,78.375,8,193.7,4,4,4,ACTIVE
1980,119.0,5,49.83,3,3,2,REGULARS
1981,212.0,2,54.7,2,1,2,REGULARS
1982,148.0,3,89.2,3,2,3,REGULARS
1983,84.28571428571429,7,199.6,4,4,4,ACTIVE
1985,197.0,3,39.75,2,2,1,REGULARS
1987,142.33333333333334,3,76.0,3,2,3,REGULARS
1988,320.0,2,56.9,1,1,2,REGULARS
1989,112.0,1,7.6,4,1,1,REGULARS
1990,221.0,3,42.2,1,2,1,REGULARS
1991,73.11111111111111,9,201.21,4,4,4,ACTIVE
1992,120.0,3,103.8,3,2,3,REGULARS
1993,148.0,3,81.91,3,2,3,REGULARS
1994,175.66666666666666,3,86.7,2,2,3,REGULARS
1995,112.8,5,61.82,3,3,2,REGULARS
1996,174.0,4,51.75,2,3,2,REGULARS
1997,71.0,6,150.12,4,4,4,ACTIVE
1998,77.22222222222223,9,168.05,4,4,4,ACTIVE
1999,159.25,4,159.25,2,3,4,REGULARS
2000,272.0,2,82.4,1,1,3,REGULARS
2001,99.0,7,267.32,4,4,4,ACTIVE
2002,71.0,1,47.3,4,1,2,REGULARS
2003,197.5,2,44.7,2,1,2,REGULARS
2004,120.0,5,118.81,3,3,4,REGULARS
2005,109.5,4,83.99,4,3,3,ACTIVE
2006,215.0,2,32.0,2,1,1,REGULARS
2007,62.0,2,51.85,4,1,2,REGULARS
2008,217.66666666666663,3,11.65,1,2,1,REGULARS
2009,191.66666666666663,3,49.4,2,2,2,REGULARS
2010,180.75,4,55.34,2,3,2,REGULARS
2011,88.625,8,86.86,4,4,3,ACTIVE
2012,256.5,2,13.2,1,1,1,NEW
2013,123.0,3,32.45,3,2,1,REGULARS
2014,77.25,8,84.5,4,4,3,ACTIVE
2015,256.5,2,22.6,1,1,1,NEW
2016,234.0,2,47.6,1,1,2,REGULARS
2017,66.14285714285714,7,180.4,4,4,4,ACTIVE
2018,138.6,5,139.6,3,3,4,REGULARS
2019,81.14285714285714,7,91.1,4,4,3,ACTIVE
2020,232.33333333333331,3,67.8,1,2,2,REGULARS
2021,352.0,1,20.6,1,1,1,NEW
2022,112.5,6,260.7,4,4,4,ACTIVE
2023,213.0,3,64.11,2,2,2,REGULARS
2024,296.0,2,10.25,1,1,1,NEW
2025,192.66666666666663,3,73.4,2,2,2,REGULARS
2026,361.0,2,75.2,1,1,3,REGULARS
2027,336.0,2,41.2,1,1,1,NEW
2028,101.16666666666669,6,134.29,4,4,4,ACTIVE
2029,116.4,5,86.7,3,3,3,REGULARS
2030,233.33333333333331,3,33.22,1,2,1,REGULARS
2031,180.25,4,157.0,2,3,4,REGULARS
2032,347.5,2,54.45,1,1,2,REGULARS
2033,158.5,4,201.5,2,3,4,REGULARS
2034,183.33333333333331,3,62.46,2,2,2,REGULARS
2035,182.33333333333331,3,113.22,2,2,3,REGULARS
2036,232.0,3,32.3,1,2,1,REGULARS
2037,208.66666666666663,3,101.95,2,2,3,REGULARS
2038,138.8,5,76.95,3,3,3,REGULARS
2039,97.5,2,47.4,4,1,2,REGULARS
2040,104.83333333333331,6,140.01,4,4,4,ACTIVE
2041,98.42857142857144,7,165.5,4,4,4,ACTIVE
2042,103.66666666666669,6,139.25,4,4,4,ACTIVE
2043,139.4,5,113.58,3,3,3,REGULARS
2044,163.25,4,66.01,2,3,2,REGULARS
2045,98.28571428571428,7,148.41,4,4,4,ACTIVE
2046,152.5,2,35.25,3,1,1,REGULARS
2047,144.8,5,96.81,3,3,3,REGULARS
2048,112.33333333333331,6,73.2,4,4,2,ACTIVE
2049,159.25,4,95.3,2,3,3,REGULARS
2050,218.0,2,23.9,1,1,1,NEW
2051,88.625,8,284.9,4,4,4,ACTIVE
2053,166.0,3,32.2,2,2,1,REGULARS
2054,170.33333333333334,3,95.12,2,2,3,REGULARS
2055,82.57142857142857,7,101.85,4,4,3,ACTIVE
2056,99.16666666666669,6,145.23,4,4,4,ACTIVE
2057,311.5,2,32.55,1,1,1,NEW
2058,159.25,4,65.76,2,3,2,REGULARS
2059,170.25,4,165.36,2,3,4,REGULARS
2060,292.0,2,36.4,1,1,1,NEW
2061,80.25,4,127.61,4,3,4,ACTIVE
2062,165.0,3,48.11,2,2,2,REGULARS
2063,97.16666666666669,6,116.9,4,4,4,ACTIVE
2064,217.33333333333331,3,53.0,1,2,2,REGULARS
2065,116.83333333333331,6,84.0,3,4,3,REGULARS
2066,173.25,4,137.7,2,3,4,REGULARS
2067,158.5,4,36.54,2,3,1,REGULARS
2068,115.2,5,81.65,3,3,3,REGULARS
2069,113.6,5,146.1,3,3,4,REGULARS
2070,71.22222222222223,9,223.85,4,4,4,ACTIVE
2071,161.5,4,82.66,2,3,3,REGULARS
2072,136.0,5,96.2,3,3,3,REGULARS
2073,82.25,4,83.66,4,3,3,ACTIVE
2074,122.5,4,55.2,3,3,2,REGULARS
2075,202.0,3,18.0,2,2,1,REGULARS
2076,178.75,4,58.0,2,3,2,REGULARS
2077,152.75,4,170.9,3,3,4,REGULARS
2078,297.5,2,59.05,1,1,2,REGULARS
2079,134.6,5,168.41,3,3,4,REGULARS
2080,262.5,2,53.6,1,1,2,REGULARS
2081,228.0,3,103.01,1,2,3,REGULARS
2082,111.5,4,45.9,4,3,2,ACTIVE
2083,108.75,4,108.0,4,3,3,ACTIVE
2084,222.5,2,27.1,1,1,1,NEW
2085,181.5,4,66.7,2,3,2,REGULARS
2086,120.16666666666669,6,182.4,3,4,4,REGULARS
2087,137.25,4,70.0,3,3,2,REGULARS
2088,232.5,2,32.7,1,1,1,NEW
2089,86.57142857142857,7,161.3,4,4,4,ACTIVE
2091,177.75,4,69.4,2,3,2,REGULARS
2092,127.6,5,96.31,3,3,3,REGULARS
2093,113.66666666666669,6,159.31,3,4,4,REGULARS
2094,222.66666666666663,3,34.44,1,2,1,REGULARS
2095,134.0,2,38.2,3,1,1,REGULARS
2096,339.0,1,8.6,1,1,1,NEW
